System check identified some issues:

WARNINGS:
?: (1_7.W001) MIDDLEWARE_CLASSES is not set.
	HINT: Django 1.7 changed the global defaults for the MIDDLEWARE_CLASSES. django.contrib.sessions.middleware.SessionMiddleware, django.contrib.auth.middleware.AuthenticationMiddleware, and django.contrib.messages.middleware.MessageMiddleware were removed from the defaults. If your project needs these middleware then you should configure this setting.
2020-03-25 00:35:00,051 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:40:00 UTC)" (scheduled at 2020-03-25 00:35:00+00:00)
2020-03-25 00:35:00,128 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:40:00 UTC)" executed successfully
2020-03-25 00:40:00,036 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:45:00 UTC)" (scheduled at 2020-03-25 00:40:00+00:00)
2020-03-25 00:40:00,117 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:45:00 UTC)" executed successfully
2020-03-25 00:45:00,020 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:50:00 UTC)" (scheduled at 2020-03-25 00:45:00+00:00)
2020-03-25 00:45:00,126 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:50:00 UTC)" executed successfully
2020-03-25 00:50:00,029 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:50:00 UTC)" (scheduled at 2020-03-25 00:50:00+00:00)
2020-03-25 00:50:00,139 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:55:00 UTC)" executed successfully
2020-03-25 00:55:00,115 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:55:00 UTC)" (scheduled at 2020-03-25 00:55:00+00:00)
2020-03-25 00:55:00,293 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:00:00 UTC)" executed successfully
2020-03-25 01:00:00,099 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:05:00 UTC)" (scheduled at 2020-03-25 01:00:00+00:00)
2020-03-25 01:00:00,150 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:05:00 UTC)" executed successfully
2020-03-25 01:05:00,005 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:05:00 UTC)" (scheduled at 2020-03-25 01:05:00+00:00)
2020-03-25 01:05:00,047 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:10:00 UTC)" executed successfully
2020-03-25 01:10:00,008 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:15:00 UTC)" (scheduled at 2020-03-25 01:10:00+00:00)
2020-03-25 01:10:00,024 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:15:00 UTC)" executed successfully
2020-03-25 01:15:00,005 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:15:00 UTC)" (scheduled at 2020-03-25 01:15:00+00:00)
2020-03-25 01:15:00,022 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:20:00 UTC)" executed successfully
2020-03-25 01:20:00,019 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:20:00 UTC)" (scheduled at 2020-03-25 01:20:00+00:00)
2020-03-25 01:20:00,070 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:25:00 UTC)" executed successfully
2020-03-25 01:25:00,034 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:30:00 UTC)" (scheduled at 2020-03-25 01:25:00+00:00)
2020-03-25 01:25:00,060 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:30:00 UTC)" executed successfully
2020-03-25 01:30:00,002 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:35:00 UTC)" (scheduled at 2020-03-25 01:30:00+00:00)
2020-03-25 01:30:00,035 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:35:00 UTC)" executed successfully
2020-03-25 01:35:00,001 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:35:00 UTC)" (scheduled at 2020-03-25 01:35:00+00:00)
2020-03-25 01:35:00,044 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:40:00 UTC)" executed successfully
2020-03-25 01:40:00,046 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:45:00 UTC)" (scheduled at 2020-03-25 01:40:00+00:00)
2020-03-25 01:40:00,137 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:45:00 UTC)" executed successfully
2020-03-25 01:45:00,028 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:50:00 UTC)" (scheduled at 2020-03-25 01:45:00+00:00)
2020-03-25 01:45:00,166 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:50:00 UTC)" executed successfully
2020-03-25 01:50:00,019 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:55:00 UTC)" (scheduled at 2020-03-25 01:50:00+00:00)
2020-03-25 01:50:00,075 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:55:00 UTC)" executed successfully
2020-03-25 01:55:00,011 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:00:00 UTC)" (scheduled at 2020-03-25 01:55:00+00:00)
2020-03-25 01:55:00,074 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:00:00 UTC)" executed successfully
2020-03-25 02:00:00,024 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:05:00 UTC)" (scheduled at 2020-03-25 02:00:00+00:00)
2020-03-25 02:00:00,479 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:05:00 UTC)" executed successfully
2020-03-25 02:05:00,182 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:10:00 UTC)" (scheduled at 2020-03-25 02:05:00+00:00)
2020-03-25 02:05:00,410 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:10:00 UTC)" executed successfully
2020-03-25 02:10:00,116 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:15:00 UTC)" (scheduled at 2020-03-25 02:10:00+00:00)
2020-03-25 02:10:00,213 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:15:00 UTC)" executed successfully
2020-03-25 02:15:00,012 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:15:00 UTC)" (scheduled at 2020-03-25 02:15:00+00:00)
2020-03-25 02:15:00,122 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:20:00 UTC)" executed successfully
2020-03-25 02:20:00,044 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:25:00 UTC)" (scheduled at 2020-03-25 02:20:00+00:00)
2020-03-25 02:20:00,115 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:25:00 UTC)" executed successfully
2020-03-25 02:25:00,012 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:25:00 UTC)" (scheduled at 2020-03-25 02:25:00+00:00)
2020-03-25 02:25:00,121 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:30:00 UTC)" executed successfully
2020-03-25 02:30:00,031 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:35:00 UTC)" (scheduled at 2020-03-25 02:30:00+00:00)
2020-03-25 02:30:00,130 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:35:00 UTC)" executed successfully
2020-03-25 02:35:00,023 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:35:00 UTC)" (scheduled at 2020-03-25 02:35:00+00:00)
2020-03-25 02:35:00,202 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:40:00 UTC)" executed successfully
2020-03-25 02:40:00,067 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:45:00 UTC)" (scheduled at 2020-03-25 02:40:00+00:00)
2020-03-25 02:40:00,125 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:45:00 UTC)" executed successfully
2020-03-25 02:45:00,033 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:50:00 UTC)" (scheduled at 2020-03-25 02:45:00+00:00)
2020-03-25 02:45:00,234 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:50:00 UTC)" executed successfully
2020-03-25 02:50:00,011 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:50:00 UTC)" (scheduled at 2020-03-25 02:50:00+00:00)
2020-03-25 02:50:00,107 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 02:55:00 UTC)" executed successfully
2020-03-25 02:55:00,066 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:00:00 UTC)" (scheduled at 2020-03-25 02:55:00+00:00)
2020-03-25 02:55:00,107 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:00:00 UTC)" executed successfully
2020-03-25 03:00:00,009 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:00:00 UTC)" (scheduled at 2020-03-25 03:00:00+00:00)
2020-03-25 03:00:00,051 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:05:00 UTC)" executed successfully
2020-03-25 03:05:00,022 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:05:00 UTC)" (scheduled at 2020-03-25 03:05:00+00:00)
2020-03-25 03:05:00,056 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:10:00 UTC)" executed successfully
2020-03-25 03:10:00,004 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:10:00 UTC)" (scheduled at 2020-03-25 03:10:00+00:00)
2020-03-25 03:10:00,290 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:15:00 UTC)" executed successfully
2020-03-25 03:15:00,309 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:20:00 UTC)" (scheduled at 2020-03-25 03:15:00+00:00)
2020-03-25 03:15:01,033 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:20:00 UTC)" executed successfully
2020-03-25 03:20:00,323 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:25:00 UTC)" (scheduled at 2020-03-25 03:20:00+00:00)
2020-03-25 03:20:00,892 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:25:00 UTC)" executed successfully
2020-03-25 03:25:00,087 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:25:00 UTC)" (scheduled at 2020-03-25 03:25:00+00:00)
2020-03-25 03:25:00,520 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:30:00 UTC)" executed successfully
2020-03-25 03:30:00,209 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:35:00 UTC)" (scheduled at 2020-03-25 03:30:00+00:00)
2020-03-25 03:30:00,258 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:35:00 UTC)" executed successfully
2020-03-25 03:35:00,142 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:40:00 UTC)" (scheduled at 2020-03-25 03:35:00+00:00)
2020-03-25 03:35:00,345 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:40:00 UTC)" executed successfully
2020-03-25 03:40:00,029 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:40:00 UTC)" (scheduled at 2020-03-25 03:40:00+00:00)
2020-03-25 03:40:00,154 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:45:00 UTC)" executed successfully
